Name,Artist,Album,Time,Genre,ID
The Riverboat Song,Ocean Colour Scene,Anthology CD 1,2.97,Rock,221
Youve Got It Bad,Ocean Colour Scene,Anthology CD 1,2.66,Rock,222
The Day We Caught The Train,Ocean Colour Scene,Anthology CD 1,1.91,Rock,223
The Circle,Ocean Colour Scene,Anthology CD 1,2.23,Rock,224
Hundred Mile High City,Ocean Colour Scene,Anthology CD 1,2.37,Rock,225
Travellers Tune,Ocean Colour Scene,Anthology CD 1,2.2,Rock,226
Better Day,Ocean Colour Scene,Anthology CD 1,2.26,Rock,227
Its A Beautiful Thing,Ocean Colour Scene,Anthology CD 1,2.18,Rock,228
Profit In Peace,Ocean Colour Scene,Anthology CD 1,2.16,Rock,229
So Low,Ocean Colour Scene,Anthology CD 1,2.34,Rock,230
July,Ocean Colour Scene,Anthology CD 1,2.08,Rock,231
I Am The News,Ocean Colour Scene,Anthology CD 1,2.28,Rock,232
Up On The Downside,Ocean Colour Scene,Anthology CD 1,3.02,Rock,233
Mechanical Wonder,Ocean Colour Scene,Anthology CD 1,2.68,Rock,234
Crazy Lowdown Ways,Ocean Colour Scene,Anthology CD 1,2.2,Rock,235
Another Girls Name,Ocean Colour Scene,Anthology CD 2,2.05,Rock,236
My Brother Sarah,Ocean Colour Scene,Anthology CD 2,1.62,Rock,237
Mona Lisa Eyes,Ocean Colour Scene,Anthology CD 2,2.21,Rock,238
The Seventh Floor,Ocean Colour Scene,Anthology CD 2,3.02,Rock,239
Robin Hood,Ocean Colour Scene,Anthology CD 2,2.16,Rock,240
The Face Smiles Back Easily,Ocean Colour Scene,Anthology CD 2,2.01,Rock,241
Falling To The Floor,Ocean Colour Scene,Anthology CD 2,2.36,Rock,242
Hello Monday,Ocean Colour Scene,Anthology CD 2,2.22,Rock,243
Song For The Front Row,Ocean Colour Scene,Anthology CD 2,1.81,Rock,244
On The Way Home,Ocean Colour Scene,Anthology CD 2,1.42,Rock,245
The Best Bet On Chinaski,Ocean Colour Scene,Anthology CD 2,1.68,Rock,246
On And On,Ocean Colour Scene,Anthology CD 2,1.33,Rock,247
Mariners Way,Ocean Colour Scene,Anthology CD 2,1.98,Rock,248
Expensive Chair,Ocean Colour Scene,Anthology CD 2,2.25,Rock,249
If You Get Your Way,Ocean Colour Scene,Anthology CD 2,1.87,Rock,250
Flood Tide Rising,Ocean Colour Scene,Anthology CD 2,2.16,Rock,251
Free On The Wind,Ocean Colour Scene,Anthology CD 2,2.01,Rock,252
I Was,Ocean Colour Scene,Anthology CD 2,1.79,Rock,253
Come Home,Ocean Colour Scene,Anthology CD 2,1.98,Rock,254
Best Friends Lovers,Ocean Colour Scene,Anthology CD 2,1.64,Rock,255
Windowlicker,Aphex Twin,Aphex Twin26 Mixes For CashC,2.55,Electronic,256
SAW2 CD1 TRK2,Aphex Twin,Aphex Twin26 Mixes For CashC,3.9,Electronic,257
Im Sleeping In A Submarine,Arcade Fire,Arcade Fire,1.67,Baroque Rock,258
Im Sleeping In A Submarine,Arcade Fire,Arcade Fire,1.67,Baroque Rock,259
No Cars Go,Arcade Fire,Arcade Fire,3.64,Baroque Rock,260
The Woodland National Anthem,Arcade Fire,Arcade Fire,2.39,Baroque Rock,261
My Heart is an Apple,Arcade Fire,Arcade Fire,2.67,Baroque Rock,262
Headlights Look Like Diamonds,Arcade Fire,Arcade Fire,2.65,Baroque Rock,263
Essential Mix,Daft Punk,BBC Radio 1 Broadcast,70.55,Dance,264
live at Trance Energy Jaarbeurs Utrecht Holland,Armin Van Buuren Judge Jules,BBC Radio One,71.41,Unknown,265
DYou Know What I Mean,Oasis,Be Here Now,4.64,Rock,266
My Big Mouth,Oasis,Be Here Now,3.04,Rock,267
Magic Pie,Oasis,Be Here Now,4.41,Rock,268
Stand By Me,Oasis,Be Here Now,3.58,Rock,269
I Hope I Think I Know,Oasis,Be Here Now,2.64,Rock,270
The Girl In The Dirty Shirt,Oasis,Be Here Now,3.51,Rock,271
Fade InOut,Oasis,Be Here Now,4.14,Rock,272
Dont Go Away,Oasis,Be Here Now,2.9,Rock,273
Be Here Now,Oasis,Be Here Now,3.15,Rock,274
All Around The World,Oasis,Be Here Now,5.62,Rock,275
Its Gettin Better Man,Oasis,Be Here Now,4.22,Rock,276
All Around The World Reprise,Oasis,Be Here Now,1.28,Rock,277
Knocked Up,Kings Of Leon,Because Of The Times,4.3,Rock,278
Charmer,Kings Of Leon,Because Of The Times,1.76,Rock,279
On Call,Kings Of Leon,Because Of The Times,2.01,Rock,280
McFearless,Kings Of Leon,Because Of The Times,1.89,Rock,281
Black Thumbnail,Kings Of Leon,Because Of The Times,2.39,Rock,282
My Party,Kings Of Leon,Because Of The Times,2.5,Rock,283
True Love Way,Kings Of Leon,Because Of The Times,2.42,Rock,284
Ragoo,Kings Of Leon,Because Of The Times,1.81,Rock,285
Fans,Kings Of Leon,Because Of The Times,2.16,Rock,286
The Runner,Kings Of Leon,Because Of The Times,2.56,Rock,287
Trunk,Kings Of Leon,Because Of The Times,2.37,Rock,288
Camaro,Kings Of Leon,Because Of The Times,1.86,Rock,289
Arctic Monkeys Riot Van,Artic monkeys,Beneath The Boardwalk,1.35,Unknown,290
Human Ferry Corsten Remix,The Killers,Best of Best Incl Remixes 2CDNiFTY,4.14,Trance,291
By The Way,Red Hot Chili Peppers,By The Way UK,2.2,Blues,292
Universally Speaking,Red Hot Chili Peppers,By The Way UK,2.61,Blues,293
This Is The Place,Red Hot Chili Peppers,By The Way UK,2.62,Blues,294
Dosed,Red Hot Chili Peppers,By The Way UK,3.18,Blues,295
Dont Forget Me,Red Hot Chili Peppers,By The Way UK,2.82,Blues,296
Zephyr Song,Red Hot Chili Peppers,By The Way UK,2.35,Blues,297
Cant Stop,Red Hot Chili Peppers,By The Way UK,2.77,Blues,298
I Could Die For You,Red Hot Chili Peppers,By The Way UK,1.96,Blues,299
Midnight,Red Hot Chili Peppers,By The Way UK,2.97,Blues,300
Throw Away Your Television,Red Hot Chili Peppers,By The Way UK,2.28,Blues,301
Cabron,Red Hot Chili Peppers,By The Way UK,2.23,Blues,302
Tear,Red Hot Chili Peppers,By The Way UK,3.19,Blues,303
On Mercury,Red Hot Chili Peppers,By The Way UK,2.1,Blues,304
Minor Thing,Red Hot Chili Peppers,By The Way UK,2.2,Blues,305
